numero,rep,nom_voie,code_postal,nom_commune
1473,,Route de Bonnegarde,40330,Amou
576,,Avenue des Pyrénées,40330,Amou
51,,Rue Panecau,40330,Amou
1800,,Route de la Chalosse,40330,Amou
8,b,Place Saint-pierre,40330,Amou
355,,Avenue de l'Océan,40330,Amou
45,,Chemin de Pouillicq,40330,Amou
23,,Impasse de Paul,40330,Amou
80,,Rue Panecau,40330,Amou
50,,Rue du Château Vieux,40330,Amou
155,,Rue Panecau,40330,Amou
125,,Route de Sault de Navailles,40330,Amou
201,a,Chemin de Jouanlanne,40330,Amou
413,a,Chemin de Marlat,40330,Amou
18,,Place de la Poste,40330,Amou
224,,Route de France,40330,Amou
1077,,Avenue de l'Océan,40330,Amou
434,,Route de Berdillon,40330,Amou
215,,Chemin de Chabrague,40330,Amou
1056,,Avenue du Béarn,40330,Amou
401,,Avenue des Pyrénées,40330,Amou
100,,Chemin de Barragne,40330,Amou
567,,Chemin de Gaye,40330,Amou
22,,Chemin de Meynard,40330,Amou
142,,Rue des Tourterelles,40330,Amou
208,,Avenue de la Gare,40330,Amou
290,,Impasse du Camp Romain,40330,Amou
436,,Avenue de la Digue,40330,Amou
520,,Route de Berdillon,40330,Amou
166,,Rue Moncade,40330,Amou
29,,Rue des Ecoles,40330,Amou
50,,Rue des Acacias,40330,Amou
36,,Imp de Pavillon,40330,Amou
789,,Chemin de Larribaou,40330,Amou
701,,Route de Sault de Navailles,40330,Amou
34,,Rue des Tourterelles,40330,Amou
218,,Rue Panecau,40330,Amou
128,,Route de France,40330,Amou
1011,,Chemin de Marlat,40330,Amou
620,,Avenue des Pyrénées,40330,Amou
24,,Rue de la Bourgade,40330,Amou
33,,Allée des Troenes,40330,Amou
115,,Chemin de Barragne,40330,Amou
36,,Place de la Poste,40330,Amou
746,,Route de Berdillon,40330,Amou
448,,Route de Berdillon,40330,Amou
300,bis,Avenue du Béarn,40330,Amou
282,,Route de Nassiet,40330,Amou
65,,Impasse de Pelle,40330,Amou
143,,Chemin de Baratnaou,40330,Amou
141,,Avenue de la Gare,40330,Amou
186,,Impasse de Mourthe,40330,Amou
108,c,Rue Saint- Pierre,40330,Amou
126,,Avenue des Pyrénées,40330,Amou
22,,Rue Panecau,40330,Amou
1888,,Chemin de Pebarthe,40330,Amou
171,,Chemin de Barragne,40330,Amou
174,,Route d'Arsague,40330,Amou
115,,Allée des Coquelicots,40330,Amou
192,,Avenue d'Aquitaine,40330,Amou
76,,Rue Saint- Pierre,40330,Amou
37,,Imp de Pavillon,40330,Amou
401,,Chemin de Placerin,40330,Amou
34,,Allée des Capucines,40330,Amou
597,,Avenue de l'Océan,40330,Amou
40,,Rue Saint- Pierre,40330,Amou
875,,Chemin d'Arripot,40330,Amou
72,,Chemin de Meynard,40330,Amou
20,,Rue Bertrand Ducournau,40330,Amou
73,,Rue des Acacias,40330,Amou
120,,Avenue de l'Océan,40330,Amou
176,,Rue Panecau,40330,Amou
1118,,Route de Sault de Navailles,40330,Amou
110,,Rue de la Bourgade,40330,Amou
35,,Chemin des Chênes Verts,40330,Amou
496,,Chemin de Lahitte,40330,Amou
235,,Chemin de Baratnaou,40330,Amou
18,,Chemin des Chênes Verts,40330,Amou
453,,Avenue de l'Océan,40330,Amou
352,,Avenue de l'Océan,40330,Amou
120,c,Avenue de l'Océan,40330,Amou
258,,Allée des Coquelicots,40330,Amou
415,,Chemin de Meynard,40330,Amou
343,a,Chemin de Pilat,40330,Amou
1435,,Chemin de Barrabas,40330,Amou
490,,Avenue de l'Océan,40330,Amou
117,,Route de France,40330,Amou
8,,Rue Saint- Pierre,40330,Amou
